inn;name;region;employees;registration_date
7701234567;ООО Альфа;Москва;120;2024-03-15
7812345678;ООО Бета;Санкт-Петербург;45;2023-11-02
7707654321;АО Вектор;Москва;250;2022-07-10
5401234567;ООО СибирьТех;Новосибирская область;80;2023-05-21
6609876543;ООО УралСофт;Свердловская область;95;2021-09-14
2304567890;ООО Южный Вектор;Краснодарский край;35;2024-04-01
1650123456;ООО Казань Инжиниринг;Республика Татарстан;210;2020-02-18
6312345678;АО Волга Системс;Самарская область;160;2022-12-05
5201234567;ООО Нижний Софт;Нижегородская область;72;2023-08-11
5001234567;ООО Подмосковье Дата;Московская область;310;2019-06-25
3661234567;ООО Черноземье;Воронежская область;64;2024-01-12
6161234567;ООО Дон Аналитика;Ростовская область;130;2021-03-30
2536123456;ООО Восток Технологии;Приморский край;58;2022-09-09
2721123456;АО Амур Сервис;Хабаровский край;88;2020-11-17
5901234567;ООО Пермь Автоматика;Пермский край;104;2023-02-06
2460123456;ООО Енисей Данные;Красноярский край;145;2022-05-19
7203123456;ООО Тюмень Проект;Тюменская область;77;2024-06-03
8602123456;ООО Югра Инфо;Ханты-Мансийский АО;118;2021-12-14
5501234567;ООО Омск Лаб;Омская область;41;2023-07-27
2225123456;ООО Алтай Системы;Алтайский край;52;2022-01-31
3811123456;ООО Байкал Софт;Иркутская область;69;2020-08-23
0326123456;ООО Бурят Проект;Республика Бурятия;33;2024-02-29
4101123456;ООО Камчатка Дата;Камчатский край;24;2023-09-16
2901123456;ООО Север Аналитика;Архангельская область;47;2021-04-05
3906123456;ООО Балтика Тех;Калининградская область;83;2022-10-20
1001123456;ООО Карелия Инфо;Республика Карелия;39;2023-03-13
1101123456;ООО Коми Решения;Республика Коми;56;2020-07-07
5101123456;ООО Арктик Сервис;Мурманская область;91;2021-01-26
3501123456;ООО Вологда Тех;Вологодская область;61;2024-05-08
4401123456;ООО Кострома Данные;Костромская область;29;2022-03-11
7604123456;ООО Ярославль Системы;Ярославская область;76;2023-12-01
6201123456;ООО Рязань Проект;Рязанская область;68;2021-10-10
7107123456;ООО Тула Автоматика;Тульская область;112;2020-09-15
6901123456;ООО Тверь Софт;Тверская область;54;2024-07-19
6701123456;ООО Смоленск Дата;Смоленская область;49;2022-06-06
4601123456;ООО Курск Аналитика;Курская область;38;2023-01-24
4801123456;ООО Липецк Тех;Липецкая область;66;2021-05-28
5701123456;ООО Орёл Системы;Орловская область;31;2024-08-09
6801123456;ООО Тамбов Проект;Тамбовская область;43;2022-11-30
1301123456;ООО Мордовия Софт;Республика Мордовия;51;2023-04-17
123;ООО Короткий ИНН;Москва;15;2024-01-10
5409999999;;Новосибирская область;80;2023-05-21
6609999999;ООО Минус;Свердловская область;-5;2021-09-14
2309999999;ООО Плохая Дата;Краснодарский край;35;wrong_date
77AB234567;ООО Буквы в ИНН;Москва;22;2024-03-01
7811999999;ООО Нет Региона;;18;2024-02-12
5001999999;ООО Не Число;Московская область;many;2023-10-01
7701234567;ООО Альфа Повтор;Москва;125;2024-03-15
